Date,Tm,Opp,Quarter,Time,Down,Yards,Location,Score,Detail,Yds,EPB,EPA,Diff
2017-11-19,Giants,Chiefs,5,1:58,1,2,KAN 2,9-9,Eli Manning kneels for -3 yards,-3,6.740,5.150,-1.59
2017-11-19,Saints,Redskins,5,10:00,,0,NOR 35,31-31,Wil Lutz kicks off 65 yards touchback,,0.000,-0.610,-0.61
2017-11-19,Giants,Chiefs,5,1:57,2,5,KAN 5,12-9,Aldrick Rosas 23 yard field goal good,,5.150,3.000,-2.15
2017-11-19,Redskins,Saints,5,10:00,1,10,WAS 25,31-31,Kirk Cousins pass incomplete short left intended for Vernon Davis,,0.610,0.060,-0.55
2017-11-19,Redskins,Saints,5,9:55,2,10,WAS 25,31-31,Kirk Cousins sacked by Cameron Jordan for -10 yards,-10,0.060,-2.350,-2.41
2017-11-19,Redskins,Saints,5,9:11,3,20,WAS 15,31-31,Kirk Cousins pass incomplete short right intended for Samaje Perine,,-2.350,-2.440,-0.09
2017-11-19,Redskins,Saints,5,9:05,4,20,WAS 15,31-31,Tress Way punts 60 yards returned by Tommylee Lewis for 14 yards (tackle by Joshua Holsey),,-2.440,-1.530,.91
2017-11-19,Saints,Redskins,5,8:54,1,10,NOR 39,31-31,Mark Ingram left tackle for 20 yards (tackle by D.J. Swearinger),20,1.530,2.850,1.32
2017-11-19,Saints,Redskins,5,8:09,1,10,WAS 41,31-31,Mark Ingram left end for 31 yards (tackle by Martrell Spaight),31,2.850,0.000,-2.85
2017-11-19,Saints,Redskins,5,7:28,1,10,WAS 10,34-31,Wil Lutz 28 yard field goal good,,4.910,3.000,-1.91
2017-11-12,Chargers,Jaguars,5,10:00,,0,SDG 35,17-17,Nick Novak kicks off 64 yards returned by Corey Grant for 28 yards (tackle by James Onwualu),,0.000,-0.870,-0.87
2017-11-12,Jaguars,Chargers,5,9:51,1,10,JAX 29,17-17,Leonard Fournette left end for 4 yards (tackle by Darius Philon),4,0.870,0.870,.00
2017-11-12,Jaguars,Chargers,5,9:18,2,6,JAX 33,17-17,Blake Bortles pass complete short right to Leonard Fournette for 8 yards,8,0.870,1.660,.79
2017-11-12,Jaguars,Chargers,5,8:46,1,10,JAX 41,17-17,Blake Bortles pass complete short right to T.J. Yeldon for 9 yards (tackle by Jahleel Addae),9,1.660,2.340,.68
2017-11-12,Jaguars,Chargers,5,8:08,2,1,50,17-17,Blake Bortles pass incomplete short middle intended for Keelan Cole,,2.340,1.620,-0.72
2017-11-12,Jaguars,Chargers,5,8:02,3,1,50,17-17,Leonard Fournette middle for 1 yard (tackle by Jatavis Brown),1,1.620,2.320,.70
